model,threshold,accuracy,precision,recall,f1,roc_auc,acc_lo,acc_hi,acc_mean,f1_lo,f1_hi,f1_mean
logit_base,0.5,0.5957446808510638,0.6333333333333333,0.7037037037037037,0.6666666666666666,0.5351851851851851,0.44680851063829785,0.723404255319149,0.597,0.5170763022743947,0.7868852459016393,0.6577157449145891
logit_balanced,0.5,0.574468085106383,0.64,0.5925925925925926,0.6153846153846154,0.5351851851851851,0.425531914893617,0.7021276595744681,0.571872340425532,0.45443181818181816,0.7547169811320755,0.6060233422483949
logit_base_tunedthr,0.43999999999999995,0.6170212765957447,0.6097560975609756,0.9259259259259259,0.7352941176470589,0.5351851851851851,0.46808510638297873,0.7659574468085106,0.6193404255319149,0.6,0.8421052631578947,0.7292237047376665
