group,metric,lo,hi,count
6,0.6428571428571429,0.35714285714285715,0.8571428571428571,14
7,0.5454545454545454,0.36363636363636365,0.7727272727272727,22
8,0.7272727272727273,0.45454545454545453,1.0,11
