model,accuracy,precision,recall,f1,roc_auc
logit_base,0.5957446808510638,0.6333333333333333,0.7037037037037037,0.6666666666666666,0.5351851851851851
logit_balanced,0.574468085106383,0.64,0.5925925925925926,0.6153846153846154,0.537037037037037
rf_300_leaf3,0.425531914893617,0.5,0.48148148148148145,0.49056603773584906,0.4685185185185185
