ticker,date,articles,sent_mean,sent_overall_mean,sent_weighted
AAPL,2024-08-28,13,0.1316683846153846,0.20798584615384616,0.18807240031622285
AAPL,2024-08-29,13,0.16206046153846154,0.23098430769230768,0.22531822046780942
AAPL,2024-08-30,18,0.18809455555555557,0.23271516666666667,0.27708945264555507
AAPL,2024-08-31,6,0.3487823333333333,0.2449718333333333,0.35717073260598553
AAPL,2024-09-26,6,0.17869683333333333,0.27428199999999997,0.22899337982251647
AAPL,2024-09-27,13,0.13630315384615385,0.22068353846153846,0.170078254581242
AAPL,2024-09-28,11,0.19624145454545455,0.21539954545454545,0.2942283184794599
AAPL,2024-09-29,4,0.38365075,0.28815275,0.38650349013713825
AAPL,2024-09-30,16,0.1286453125,0.19218493749999999,0.16151999429036337
AAPL,2024-10-29,12,0.12430858333333333,0.2323643333333333,0.25896768962759614
AAPL,2024-10-30,23,0.10936730434782609,0.20400591304347823,0.1928935022979145
AAPL,2024-10-31,15,0.14083466666666666,0.19983373333333335,0.21054579543255567
AAPL,2024-11-26,2,-0.19229649999999998,0.12770949999999998,-0.14351640551984315
AAPL,2024-11-27,16,0.1794974375,0.19530375,0.25742336450916037
AAPL,2024-11-28,16,0.2076626875,0.2408534375,0.28463073913045484
AAPL,2024-11-29,14,0.19285692857142858,0.18880564285714288,0.28495638137967266
AAPL,2024-11-30,2,0.23990999999999998,0.27647299999999997,0.32845322990697406
AAPL,2024-12-27,15,0.19568933333333333,0.16232666666666667,0.27968400616204026
AAPL,2024-12-28,4,0.21144325,0.2529205,0.23983858500682642
AAPL,2024-12-29,2,0.1862535,0.214977,0.4003828155318408
AAPL,2024-12-30,14,0.13597757142857142,0.22619685714285714,0.21162240297902515
AAPL,2024-12-31,15,0.16728653333333332,0.20451606666666666,0.23103779286160403
AAPL,2025-01-30,21,0.17614590476190475,0.18616980952380952,0.2508065767454331
AAPL,2025-01-31,29,0.16203375862068964,0.2129216551724138,0.2464189814272264
AAPL,2025-02-25,17,0.02204864705882353,0.12656194117647057,0.00489566548770764
AAPL,2025-02-26,11,0.06177909090909092,0.16156272727272727,0.07512461129079788
AAPL,2025-02-27,9,0.039044,0.19856166666666666,0.027619720186418
AAPL,2025-02-28,13,0.1274763076923077,0.19106969230769227,0.06247604194699717
AAPL,2025-03-26,4,0.07369925,0.15655125,0.07000689055821734
AAPL,2025-03-27,11,0.22632509090909092,0.19394681818181822,0.2663851437212801
AAPL,2025-03-28,14,0.09708585714285714,0.19057164285714287,0.13299402350145645
AAPL,2025-03-29,4,0.128809,0.138288,0.26611390773707716
AAPL,2025-03-30,4,0.22954049999999998,0.19671125,0.22556483581280007
AAPL,2025-03-31,13,0.15846023076923077,0.19470730769230768,0.24606979253733596
AAPL,2025-04-28,15,0.10426406666666667,0.15155753333333333,0.157502059575667
AAPL,2025-04-29,16,0.1184530625,0.176599375,0.16843163355100008
AAPL,2025-04-30,19,0.11534021052631578,0.16543552631578948,0.17666792670665354
AAPL,2025-05-27,5,0.1226064,0.1894834,0.285148261341855
AAPL,2025-05-28,18,0.09560916666666668,0.175148,0.14519423684934377
AAPL,2025-05-29,10,0.036360899999999995,0.1548426,0.06614202569370367
AAPL,2025-05-30,11,0.1127969090909091,0.25962718181818184,0.17851267211768704
AAPL,2025-05-31,6,0.2542465,0.18006250000000001,0.31845386369078077
AAPL,2025-06-26,3,0.20339700000000002,0.16723566666666667,0.28136679694251393
AAPL,2025-06-27,16,0.159123375,0.1971383125,0.21529273442718833
AAPL,2025-06-28,7,0.1298645714285714,0.1670225714285714,0.14376646781625987
AAPL,2025-06-29,11,0.19376645454545455,0.17934263636363637,0.23297576112864546
AAPL,2025-06-30,13,0.21449000000000001,0.22121946153846156,0.26281347409080746
AAPL,2025-07-29,17,0.13307829411764707,0.17389923529411766,0.22534814610352075
AAPL,2025-07-30,15,0.16504839999999998,0.2221892,0.19924489470935255
AAPL,2025-07-31,18,0.19735266666666668,0.20157044444444447,0.25158624043303895
AAPL,2025-08-13,18,0.11124594444444444,0.16985172222222222,0.14193144981166705
AAPL,2025-08-14,15,0.074832,0.21163073333333332,0.09567639085122537
AAPL,2025-08-15,17,0.15050823529411764,0.18939770588235294,0.1839624839638377
