,coef
rsi_14,0.39960164989769353
gap_pct,0.002615279437630601
volume_z20,-0.00398419345787426
daily_range_pct,-0.15807638686212946
ma_ratio_5_20,-0.19376888903288347
macd,-0.31189816122066055
macd_signal,-0.35219471927648777
ret_vol_10,-0.4011049403458582
