ticker,date,articles,sent_mean,sent_overall_mean,sent_weighted,sent_neutral0,sent_ffill2
AAPL,2024-08-16,,,,,0.0,0.0
AAPL,2024-08-19,,,,,0.0,0.0
AAPL,2024-08-20,,,,,0.0,0.0
AAPL,2024-08-21,,,,,0.0,0.0
AAPL,2024-08-22,,,,,0.0,0.0
AAPL,2024-08-23,,,,,0.0,0.0
AAPL,2024-08-26,,,,,0.0,0.0
AAPL,2024-08-27,,,,,0.0,0.0
AAPL,2024-08-28,13.0,0.1316683846153846,0.20798584615384616,0.18807240031622285,0.18807240031622285,0.18807240031622285
AAPL,2024-08-29,13.0,0.16206046153846154,0.23098430769230768,0.22531822046780942,0.22531822046780942,0.22531822046780942
AAPL,2024-08-30,18.0,0.18809455555555557,0.23271516666666667,0.27708945264555507,0.27708945264555507,0.27708945264555507
AAPL,2024-09-03,,,,,0.0,0.27708945264555507
AAPL,2024-09-04,,,,,0.0,0.27708945264555507
AAPL,2024-09-05,,,,,0.0,0.0
AAPL,2024-09-06,,,,,0.0,0.0
AAPL,2024-09-09,,,,,0.0,0.0
AAPL,2024-09-10,,,,,0.0,0.0
AAPL,2024-09-11,,,,,0.0,0.0
AAPL,2024-09-12,,,,,0.0,0.0
AAPL,2024-09-13,,,,,0.0,0.0
AAPL,2024-09-16,,,,,0.0,0.0
AAPL,2024-09-17,,,,,0.0,0.0
AAPL,2024-09-18,,,,,0.0,0.0
AAPL,2024-09-19,,,,,0.0,0.0
AAPL,2024-09-20,,,,,0.0,0.0
AAPL,2024-09-23,,,,,0.0,0.0
AAPL,2024-09-24,,,,,0.0,0.0
AAPL,2024-09-25,,,,,0.0,0.0
AAPL,2024-09-26,6.0,0.17869683333333333,0.27428199999999997,0.22899337982251647,0.22899337982251647,0.22899337982251647
AAPL,2024-09-27,13.0,0.13630315384615385,0.22068353846153846,0.170078254581242,0.170078254581242,0.170078254581242
AAPL,2024-09-30,16.0,0.1286453125,0.19218493749999999,0.16151999429036337,0.16151999429036337,0.16151999429036337
AAPL,2024-10-01,,,,,0.0,0.16151999429036337
AAPL,2024-10-02,,,,,0.0,0.16151999429036337
AAPL,2024-10-03,,,,,0.0,0.0
AAPL,2024-10-04,,,,,0.0,0.0
AAPL,2024-10-07,,,,,0.0,0.0
AAPL,2024-10-08,,,,,0.0,0.0
AAPL,2024-10-09,,,,,0.0,0.0
AAPL,2024-10-10,,,,,0.0,0.0
AAPL,2024-10-11,,,,,0.0,0.0
AAPL,2024-10-14,,,,,0.0,0.0
AAPL,2024-10-15,,,,,0.0,0.0
AAPL,2024-10-16,,,,,0.0,0.0
AAPL,2024-10-17,,,,,0.0,0.0
AAPL,2024-10-18,,,,,0.0,0.0
AAPL,2024-10-21,,,,,0.0,0.0
AAPL,2024-10-22,,,,,0.0,0.0
AAPL,2024-10-23,,,,,0.0,0.0
AAPL,2024-10-24,,,,,0.0,0.0
AAPL,2024-10-25,,,,,0.0,0.0
AAPL,2024-10-28,,,,,0.0,0.0
AAPL,2024-10-29,12.0,0.12430858333333333,0.2323643333333333,0.25896768962759614,0.25896768962759614,0.25896768962759614
AAPL,2024-10-30,23.0,0.10936730434782609,0.20400591304347823,0.1928935022979145,0.1928935022979145,0.1928935022979145
AAPL,2024-10-31,15.0,0.14083466666666666,0.19983373333333335,0.21054579543255567,0.21054579543255567,0.21054579543255567
AAPL,2024-11-01,,,,,0.0,0.21054579543255567
AAPL,2024-11-04,,,,,0.0,0.21054579543255567
AAPL,2024-11-05,,,,,0.0,0.0
AAPL,2024-11-06,,,,,0.0,0.0
AAPL,2024-11-07,,,,,0.0,0.0
AAPL,2024-11-08,,,,,0.0,0.0
AAPL,2024-11-11,,,,,0.0,0.0
AAPL,2024-11-12,,,,,0.0,0.0
AAPL,2024-11-13,,,,,0.0,0.0
AAPL,2024-11-14,,,,,0.0,0.0
AAPL,2024-11-15,,,,,0.0,0.0
AAPL,2024-11-18,,,,,0.0,0.0
AAPL,2024-11-19,,,,,0.0,0.0
AAPL,2024-11-20,,,,,0.0,0.0
AAPL,2024-11-21,,,,,0.0,0.0
AAPL,2024-11-22,,,,,0.0,0.0
AAPL,2024-11-25,,,,,0.0,0.0
AAPL,2024-11-26,2.0,-0.19229649999999998,0.12770949999999998,-0.14351640551984315,-0.14351640551984315,-0.14351640551984315
AAPL,2024-11-27,16.0,0.1794974375,0.19530375,0.25742336450916037,0.25742336450916037,0.25742336450916037
AAPL,2024-11-29,14.0,0.19285692857142858,0.18880564285714288,0.28495638137967266,0.28495638137967266,0.28495638137967266
AAPL,2024-12-02,,,,,0.0,0.28495638137967266
